file,time_in_seconds,kern timing,cplex timing,finished,solution_size_verified
random/000200_000000000600.input,0.10s,178,0.0033626556396484375,0.00016236305236816406,1,correct
random/000200_000000001200.input,0.17s,194,0.010335445404052734,0.00018143653869628906,1,correct
random/000200_000000002000.input,0.16s,197,0.025151968002319336,0.00017547607421875,1,correct
random/000300_000000000360.input,0.12s,58,0.0012867450714111328,8.368492126464844,1,correct
random/000300_000000000900.input,0.11s,283,0.007527351379394531,0.0002532005310058594,1,correct
random/000300_000000001800.input,0.16s,296,0.0259554386138916,0.00026679039001464844,1,correct
random/000300_000000003000.input,0.26s,296,0.06479716300964355,0.00027108192443847656,1,correct
random/000400_000000000480.input,0.11s,78,0.0013492107391357422,8.416175842285156,1,correct
random/000400_000000001200.input,0.15s,382,0.014119625091552734,0.0003323554992675781,1,correct
random/000400_000000002400.input,0.24s,392,0.050200700759887695,0.0003485679626464844,1,correct
random/000400_000000004000.input,0.38s,396,0.13636374473571777,0.0003807544708251953,1,correct
random/000500_000000000600.input,0.11s,100,0.002916097640991211,0.00010633468627929688,1,correct
random/000500_000000001500.input,0.15s,478,0.02174091339111328,0.00040721893310546875,1,correct
random/000500_000000003000.input,0.31s,498,0.08671045303344727,0.0004298686981201172,1,correct
random/000500_000000005000.input,0.56s,498,0.23020648956298828,0.0004596710205078125,1,correct
random/000600_000000000720.input,0.13s,119,0.005862712860107422,0.00011539459228515625,1,correct
random/000600_000000001800.input,0.20s,582,0.03229355812072754,0.0004870891571044922,1,correct
random/000600_000000003600.input,0.39s,593,0.13584589958190918,0.0005438327789306641,1,correct
random/000600_000000006000.input,0.83s,595,0.3618052005767822,0.0005538463592529297,1,correct
random/000700_000000000840.input,0.12s,140,0.00511479377746582,0.00013446807861328125,1,correct
random/000700_000000002100.input,0.24s,681,0.04967379570007324,0.00057220458984375,1,correct
random/000700_000000004200.input,0.52s,692,0.2066173553466797,0.0005981922149658203,1,correct
random/000700_000000007000.input,1.19s,696,0.5384852886199951,0.0006248950958251953,1,correct
random/000800_000000000960.input,0.12s,160,0.0073473453521728516,0.0001423358917236328,1,correct
random/000800_000000002400.input,0.27s,784,0.0662238597869873,0.0006668567657470703,1,correct
random/000800_000000004800.input,0.68s,795,0.2770693302154541,0.0006976127624511719,1,correct
random/000800_000000008000.input,1.58s,796,0.7662549018859863,0.00072479248046875,1,correct
random/000900_000000001080.input,0.12s,180,0.008491992950439453,0.00017452239990234375,1,correct
random/000900_000000002700.input,1.19s,872,0.09354686737060547,0.8325588703155518,1,correct
random/000900_000000005400.input,0.89s,892,0.3886556625366211,0.0008227825164794922,1,correct
random/000900_000000009000.input,2.18s,895,1.0961995124816895,0.0009279251098632812,1,correct
random/001000_000000001200.input,0.15s,199,0.009863853454589844,0.00018405914306640625,1,correct
random/001000_000000003000.input,1.55s,982,0.11261630058288574,1.1397380828857422,1,correct
random/001000_000000006000.input,1.14s,989,0.5130612850189209,0.0008618831634521484,1,correct
random/001000_000000010000.input,2.84s,997,1.4453721046447754,0.001003265380859375,1,correct
dimacs/karate.graph.dimacs,0.14s,14,0.00011420249938964844,0.03865766525268555,1,correct
dimacs/dolphins.graph.dimacs,0.14s,34,0.00045990943908691406,0.03403878211975098,1,correct
dimacs/chesapeake.graph.dimacs,0.14s,22,0.0011792182922363281,0.03574705123901367,1,correct
dimacs/adjnoun.graph.dimacs,0.17s,59,0.0009775161743164062,0.04778599739074707,1,correct
dimacs/polbooks.graph.dimacs,0.15s,62,0.0016641616821289062,0.03722643852233887,1,correct
dimacs/football.graph.dimacs,0.18s,94,0.0012879371643066406,0.05677509307861328,1,correct
dimacs/celegans_metabolic.graph.dimacs,0.17s,249,0.0062372684478759766,0.04829239845275879,1,correct
dimacs/jazz.graph.dimacs,0.17s,158,0.009969472885131836,0.040334463119506836,1,correct
dimacs/netscience.graph.dimacs,0.28s,899,0.007718801498413086,0.1528000831604004,1,correct
dimacs/email.graph.dimacs,0.21s,594,0.018304824829101562,0.06446242332458496,1,correct
dimacs/add20.graph.dimacs,0.27s,1265,0.031252145767211914,0.0870811939239502,1,correct
dimacs/power.graph.dimacs,0.30s,2203,0.07976651191711426,0.09327483177185059,1,correct
dimacs/uk.graph.dimacs,20.47s,2626,0.015639543533325195,20.31063747406006,1,correct
dimacs/add32.graph.dimacs,0.83s,2674,0.12295246124267578,0.12679076194763184,1,correct
dimacs/3elt.graph.dimacs,s,,,0,,0
dimacs/data.graph.dimacs,1.73s,2161,0.3854398727416992,1.146409273147583,1,correct
dimacs/polblogs.graph.dimacs,0.26s,560,0.03235793113708496,0.05751490592956543,1,correct
dimacs/PGPgiantcompo.graph.dimacs,0.84s,4342,0.4667949676513672,0.19700884819030762,1,correct
dimacs/whitaker3.graph.dimacs,s,,,0,,0
dimacs/crack.graph.dimacs,1.64s,5590,0.9096581935882568,0.13833141326904297,1,>>INCORRECT<<
dimacs/fe_4elt2.graph.dimacs,s,,,0,,0
dimacs/as-22july06.graph.dimacs,2.90s,3303,2.366302490234375,0.051569223403930664,1,correct
dimacs/cs4.graph.dimacs,s,,,0,,0
dimacs/4elt.graph.dimacs,s,,,0,,0
dimacs/cond-mat.graph.dimacs,1.18s,9436,0.6963272094726562,0.2259807586669922,1,correct
dimacs/cti.graph.dimacs,s,,,0,,0
dimacs/memplus.graph.dimacs,2.87s,10072,1.825272798538208,0.2918820381164551,1,correct
dimacs/fe_sphere.graph.dimacs,231.57s,10924,9.942054748535156,231.25573778152466,1,correct
dimacs/wing_nodal.graph.dimacs,s,,,0,,0
dimacs/t60k.graph.dimacs,181.45s,30288,2.002716064453125,180.9384627342224,1,correct
dimacs/astro-ph.graph.dimacs,2.07s,10230,0.9266979694366455,0.24387216567993164,1,correct
dimacs/wing.graph.dimacs,s,,,0,,0
dimacs/fe_pwt.graph.dimacs,s,,,0,,0
dimacs/vibrobox.graph.dimacs,s,,,0,,0
dimacs/fe_body.graph.dimacs,s,,,0,,0
snap/as20000102.txt.dimacs,0.38s,1052,0.16192626953125,0.03784990310668945,1,correct
snap/email-Eu-core.txt.dimacs,0.33s,579,0.06152677536010742,0.10321545600891113,1,correct
snap/ca-GrQc.txt.dimacs,0.43s,2783,0.08457350730895996,0.17197895050048828,1,correct
snap/p2p-Gnutella08.txt.dimacs,0.35s,2054,0.15009307861328125,0.03911423683166504,1,correct
snap/ca-HepTh.txt.dimacs,0.71s,4981,0.31534481048583984,0.1919877529144287,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.44s,2574,0.2565317153930664,0.0024323463439941406,1,correct
snap/p2p-Gnutella06.txt.dimacs,0.54s,3405,0.2724874019622803,0.03954911231994629,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.53s,3428,0.2910034656524658,0.038802146911621094,1,correct
snap/p2p-Gnutella04.txt.dimacs,0.73s,4348,0.43331456184387207,0.04390311241149902,1,correct
